"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
9120,1836745,24319224,3489444364,10.22,10.1212,10.1212,9.4444,2378887489
9180,1800203,24362296,3510332072,10.22,10.1365,10.1365,10.3321,2392883665
9240,0,24417781,3535000010,10.22,10.1547,10.1547,15.0000,2409702030
9300,0,24472094,3555000010,10.22,10.1730,10.1730,15.0000,2423213806
9360,0,24528470,3575000010,10.22,10.1899,10.1899,15.0000,2436592251
9420,0,24578987,3595000010,10.22,10.2042,10.2042,15.0000,2450096190
9480,0,24630172,3615000010,10.22,10.2188,10.2188,15.0000,2463671182
9540,1718862,24698907,3641877401,10.22,10.2384,10.2384,11.8774,2481806180
9600,0,24742261,3655000010,10.22,10.2509,10.2509,15.0000,2490782181
9660,0,24827540,3685000010,10.22,10.2727,10.2727,15.0000,2511116753
9720,0,24878312,3705000010,10.22,10.2858,10.2858,15.0000,2524691420
9780,0,24928640,3725000010,10.22,10.3016,10.3016,15.0000,2538215191
9840,0,24984947,3745000010,10.22,10.3182,10.3182,15.0000,2551635658
9900,1635586,25053724,3773315421,10.22,10.3372,10.3372,13.3154,2570545246
9960,0,25110333,3795000010,10.22,10.3535,10.3535,15.0000,2585262193
10020,0,25168217,3815000010,10.22,10.3707,10.3707,15.0000,2598807705
10080,1685913,25238918,3836685923,10.22,10.3971,10.3971,6.6859,2613452575
10140,0,25295697,3855000010,10.22,10.4167,10.4167,15.0000,2625904029
10200,0,25349025,3875000010,10.22,10.4356,10.4356,15.0000,2639326375
10260,0,25402971,3895000010,10.22,10.4600,10.4600,15.0000,2652696528
10320,0,25464939,3915000010,10.22,10.4866,10.4866,15.0000,2665986507
10380,0,25531013,3935000010,10.22,10.5127,10.5127,15.0000,2679189314
10440,0,25589541,3955000010,10.22,10.5323,10.5323,15.0000,2692581091
10500,1890851,25658618,3978546072,10.22,10.5536,10.5536,8.5461,2708124466
10560,0,25706879,3995000010,10.22,10.5729,10.5729,15.0000,2719297548
10620,0,25762677,4015000010,10.22,10.5915,10.5915,15.0000,2732768748
10680,0,25828721,4035000010,10.22,10.6201,10.6201,15.0000,2746256457
10740,0,25894260,4055000010,10.22,10.6451,10.6451,15.0000,2759635697
10800,0,25950203,4075000010,10.22,10.6644,10.6644,15.0000,2772929797
10865,42,26006748,4095000053,10.22,10.6827,10.6827,5.0000,2786117091
10925,0,26079870,4115000010,10.22,10.7062,10.7062,15.0000,2799335237
10985,0,26173196,4145000010,10.22,10.7340,10.7340,15.0000,2819348554
11045,0,26233478,4155000010,10.22,10.7552,10.7552,15.0000,2825923235
11105,0,26308266,4175000010,10.22,10.7802,10.7802,15.0000,2839096636
11165,0,26474023,4205000010,10.22,10.8346,10.8346,15.0000,2858818715
11225,0,26547931,4225000010,10.22,10.8577,10.8577,15.0000,2872022772
11285,1796028,26625384,4249957484,10.22,10.8856,10.8856,9.9575,2888397065
11345,1872962,26694054,4269199400,10.22,10.9100,10.9100,9.1994,2901152656
11405,0,26751529,4285000010,10.22,10.9297,10.9297,15.0000,2911842185
11465,0,26829399,4305000010,10.22,10.9664,10.9664,15.0000,2925078943
11525,0,26914473,4325000010,10.22,11.0051,11.0051,15.0000,2938315678
11585,0,27026238,4345000010,10.22,11.0585,11.0585,15.0000,2951546349
11645,0,27107101,4365000010,10.22,11.0889,11.0889,15.0000,2964917514
11705,1707736,27166726,4381691086,10.22,11.1118,11.1118,11.6911,2975941555
11765,0,27220307,4395000010,10.22,11.1343,11.1343,15.0000,2984868686
11825,0,27314107,4415000010,10.22,11.1732,11.1732,15.0000,2998078790
11885,0,27418077,4445000010,10.22,11.2151,11.2151,15.0000,3018233126
11945,0,27502047,4465000010,10.22,11.2497,11.2497,15.0000,3031592750
12005,0,27582474,4485000010,10.22,11.2803,11.2803,15.0000,3044980365
12065,0,27666175,4505000010,10.22,11.3049,11.3049,15.0000,3058227244
12125,0,27729894,4525000010,10.22,11.3280,11.3280,15.0000,3071493776
12185,0,27808564,4545000010,10.22,11.3566,11.3566,15.0000,3084741580
12245,0,27883353,4565000010,10.22,11.3809,11.3809,15.0000,3098055107
12305,0,27977418,4585000010,10.22,11.4163,11.4163,15.0000,3111202365
12365,0,28070462,4605000010,10.22,11.4567,11.4567,15.0000,3124370465
12425,1848878,28169649,4629460821,10.22,11.4964,11.4964,9.4608,3140438071
12485,1893963,28299378,4659312356,10.22,11.5475,11.5475,9.3124,3160128648
12545,0,28382356,4685000010,10.22,11.5809,11.5809,15.0000,3177288387
12605,0,28458614,4705000010,10.22,11.6157,11.6157,15.0000,3190686826
12665,0,28526403,4725000010,10.22,11.6425,11.6425,15.0000,3203881629
12725,0,28590069,4745000010,10.22,11.6689,11.6689,15.0000,3217215618
12785,1827099,28661067,4769556818,10.22,11.6976,11.6976,9.5568,3233421024
12845,1879252,28708441,4788199391,10.22,11.7166,11.7166,8.1994,3245726618
12905,0,28748253,4805000010,10.22,11.7314,11.7314,15.0000,3256942005
12965,0,28797152,4825000010,10.22,11.7490,11.7490,15.0000,3270116070
13025,0,28850454,4845000010,10.22,11.7688,11.7688,15.0000,3283457090
13085,0,28926940,4865000010,10.22,11.8017,11.8017,15.0000,3296664087
13145,1637701,29002504,4893659999,10.22,11.8317,11.8317,13.6600,3315591818
13205,0,29059362,4915000010,10.22,11.8560,11.8560,15.0000,3329868862
13265,0,29112076,4935000010,10.22,11.8788,11.8788,15.0000,3343181416
13325,0,29165437,4955000010,10.22,11.8990,11.8990,15.0000,3356429117
13385,0,29235814,4975000010,10.22,11.9254,11.9254,15.0000,3369707512
13445,1947927,29269129,4988153730,10.22,11.9356,11.9356,8.1537,3378284192
13505,0,29325310,5005000010,10.22,11.9570,11.9570,15.0000,3389443166
13565,0,29425606,5035000010,10.22,11.9951,11.9951,15.0000,3409232710
13625,1142428,29479297,5055000010,10.22,12.0157,12.0157,15.0000,3422538761
13685,1730324,29516499,5071213830,10.22,12.0301,12.0301,11.2138,3433196991
13745,0,29579455,5095000010,10.22,12.0523,12.0523,15.0000,3448835099
13805,0,29640229,5115000010,10.22,12.0728,12.0728,15.0000,3461956982
13865,0,29688755,5135000010,10.22,12.0886,12.0886,15.0000,3475301517
13925,1707215,29734815,5162484556,10.22,12.1028,12.1028,12.4846,3493671319
13985,0,29758503,5175000010,10.22,12.1099,12.1099,15.0000,3502129922
14045,0,29828073,5205000010,10.22,12.1329,12.1329,15.0000,3522000830
14105,0,29873362,5225000010,10.22,12.1461,12.1461,15.0000,3535271304
14165,0,29915816,5245000010,10.22,12.1594,12.1594,15.0000,3548623000
14225,0,29960620,5265000010,10.22,12.1748,12.1748,15.0000,3561781702
14285,0,30004448,5285000010,10.22,12.1891,12.1891,15.0000,3575023692
14345,0,30059706,5305000010,10.22,12.2080,12.2080,15.0000,3588425651
14405,0,30104051,5325000010,10.22,12.2261,12.2261,15.0000,3601736837
14465,0,30236536,5345000010,10.22,12.2579,12.2579,15.0000,3614860464
14525,0,30285297,5355000010,10.22,12.2665,12.2665,15.0000,3621443971
14585,0,30355040,5375000010,10.22,12.2803,12.2803,15.0000,3634733152
14645,0,30417970,5395000010,10.22,12.2961,12.2961,15.0000,3648039861
14705,0,30459759,5415000010,10.22,12.3075,12.3075,15.0000,3661448953
14765,0,30529794,5435000010,10.22,12.3254,12.3254,15.0000,3674731392
14825,0,30593295,5455000010,10.22,12.3401,12.3401,15.0000,3688023069
14885,0,30641672,5475000010,10.22,12.3533,12.3533,15.0000,3701370434
14945,0,30702409,5495000010,10.22,12.3726,12.3726,15.0000,3714615007
15005,0,30752664,5515000010,10.22,12.3883,12.3883,15.0000,3728056374
15065,1882676,30806964,5538827018,10.22,12.4068,12.4068,8.8270,3743716007
15125,0,30845355,5555000010,10.22,12.4186,12.4186,15.0000,3754525963
15185,0,30881145,5575000010,10.22,12.4293,12.4293,15.0000,3767725467
15245,0,30924137,5595000010,10.22,12.4413,12.4413,15.0000,3780803294
15305,0,30976145,5615000010,10.22,12.4551,12.4551,15.0000,3793826005
15365,0,31015420,5635000010,10.22,12.4651,12.4651,15.0000,3807080034
15425,0,31061991,5655000010,10.22,12.4852,12.4852,15.0000,3820306537
15485,0,31106602,5675000010,10.22,12.5046,12.5046,15.0000,3833555032
15545,0,31156572,5695000010,10.22,12.5203,12.5203,15.0000,3846798121
15605,0,31213294,5715000010,10.22,12.5389,12.5389,15.0000,3860076475
15665,0,31268171,5735000010,10.22,12.5622,12.5622,15.0000,3873458625
15725,0,31320869,5755000010,10.22,12.5788,12.5788,15.0000,3886878398
15785,0,31387754,5775000010,10.22,12.5962,12.5962,15.0000,3900231744
15845,0,31440311,5795000010,10.22,12.6126,12.6126,15.0000,3913604588
15905,0,31495558,5815000010,10.22,12.6266,12.6266,15.0000,3926978345
15965,0,31549671,5835000010,10.22,12.6441,12.6441,15.0000,3940298041
16025,1706617,31624685,5860671537,10.22,12.6676,12.6676,10.6715,3957208869
16085,0,31665541,5875000010,10.22,12.6817,12.6817,15.0000,3966796650
