"runtime","fps","found","explored","disk_usage","fixed_hash_load_factor","hash_load_factor","cache_load_factor","collisions"
10071,23195,17591014,617757585,10.31,7.6585,7.6585,38.0492,597082998
10131,31000,17625184,619884381,10.31,7.6724,7.6724,38.7139,599174321
10191,52159,17672846,622628280,10.31,7.6914,7.6914,39.5713,601881279
10251,63010,17713264,624978920,10.31,7.7068,7.7068,40.3059,604195782
10311,40368,17763738,627947274,10.31,7.7232,7.7232,41.2335,607097287
10371,69543,17818591,631452299,10.31,7.7435,7.7435,42.3288,610582712
10431,52911,17866537,634933709,10.31,7.7611,7.7611,43.4168,614172391
10491,28433,17922488,639033485,10.31,7.7817,7.7817,44.6980,618407869
10551,28420,17980692,642847806,10.31,7.8024,7.8024,45.8899,622326509
10611,54819,18025648,646055687,10.31,7.8185,7.8185,46.8924,625628081
10671,41296,18071888,649228037,10.31,7.8350,7.8350,47.8838,628894538
10731,40089,18117536,652167861,10.31,7.8518,7.8518,48.8025,631917891
10791,40221,18164521,655028540,10.31,7.8685,7.8685,49.6964,634828839
10851,51029,18199521,657227904,10.31,7.8811,7.8811,50.3837,637077893
10911,42286,18243113,659544349,10.31,7.8970,7.8970,51.1076,639419901
10971,23700,18285145,661966895,10.31,7.9123,7.9123,51.8647,641930055
11031,32513,18321593,663792755,10.31,7.9260,7.9260,52.4352,643816208
11091,25997,18359051,665916994,10.31,7.9394,7.9394,53.0991,646017340
11151,29005,18389239,667648563,10.31,7.9504,7.9504,53.6402,647824539
11211,24388,18423596,669696205,10.31,7.9628,7.9628,54.2801,649938826
11271,21660,18452860,671305039,10.31,7.9725,7.9725,54.7828,651588297
11331,23187,18483609,673057106,10.31,7.9837,7.9837,55.3303,653413233
11391,27408,18509182,674592186,10.31,7.9930,7.9930,55.8101,655004345
11451,91554,18540742,676189091,10.31,8.0058,8.0058,56.3091,656634171
11515,883,18568250,677616608,10.31,8.0157,8.0157,56.7552,658101411
11575,32353,18608470,680084887,10.31,8.0303,8.0303,57.5265,660667447
11635,22497,18629582,681417884,10.31,8.0383,8.0383,57.9431,662067646
11695,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
11755,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
11815,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
11875,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
11935,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
11995,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12055,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12115,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12175,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12235,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12295,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12355,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
12415,0,18639496,682000010,10.31,8.0417,8.0417,58.1250,662672061
